scenario,attrs,msg_bytes,keygen_ms,sign_ms,verify_ms,enc_ms,dec_ms,http_encrypt_ms,http_log_ms,jsonapi_query_ms,total_ms,digest_hex,sig_b64,ct_b64,device_pub_source,device_cid,ok
cold,1,2048,3.923,1.042,0.334,0.169,0.047,20.212,1044.450,1523.131,1070.178,d32838fda3ef184a0988183c…,uudOYhw3Dt1CzGfN1rp09DpP…,CVAdSCD4/Y/MKqCeZtG+VnCNlcTQjY/q…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
cold,1,2048,0.177,0.129,0.393,0.018,0.012,8.811,105.591,1335.970,115.132,5c0fc173ccd1b408e54d50a8…,+JCgQ+ntB0UP5eDPKanzzRTv…,nMNlXlbVm/dHy2fNZcZhLIvdpg8ECUSS…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
cold,1,2048,0.148,0.095,0.223,0.014,0.010,9.672,105.602,1310.578,115.765,a4c4eb69be235e052188b768…,Y4X2LWH4NkSdYhiM+JXNmtNm…,ie7JMBpXrhXuqXLMUuUf3QTWVZ/hbzvS…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
warm,1,2048,0.138,0.093,0.220,0.014,0.010,7.547,97.022,1234.030,105.044,97bf4d7ba5492e7f2787f56d…,T2KhjLxiiGiUiqQe0cSqRhlV…,3hydoK4gjo8WKKQCUQTe5acy63ZD1szx…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
warm,1,2048,0.144,0.093,0.221,0.014,0.011,7.772,100.337,1322.750,108.590,eead5adf1dbda9898098038e…,phY7yhMhEU/UVnySkHIumhXP…,0NG2dW5HHDTt+FAMVu9qGjrBZqmuZgh6…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
warm,1,2048,0.146,0.094,0.221,0.014,0.010,8.999,97.003,1270.740,106.487,94db5a24f6a1ec8365cab843…,qC/23eAFQFy+trz42k2HoYgN…,vCuAbWZDVOkMSt0w/qzuUdb4pARTu701…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
cold,2,2048,0.149,0.094,0.220,0.014,0.010,7.841,101.785,1260.560,110.113,9bc1b3b37c14c839eb944e6e…,DpMcAQsCaXCsSxUfLbC1gBKA…,nEeKSJi1ErLuU25nPqh9Ch9nfsbJAJ8f…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
cold,2,2048,0.149,0.097,0.219,0.014,0.010,8.919,161.266,1180.555,170.673,f3381d6238816d3f2e53e1b0…,6e428HKhRbmJITtcPdS3FylQ…,8y3N/c+Sa9au2oZjjZoKF4zJXvNRS+pC…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
cold,2,2048,0.381,0.096,0.221,0.015,0.011,8.865,99.027,1276.998,108.615,661d6a72f6830835a1f5736f…,LdpsEbSsqhZ6H9ZCRAGa5Klp…,y9y8izfr86odSS5lwORRsfwU2U+GTwXg…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
warm,2,2048,0.757,0.245,0.321,0.019,0.024,14.690,100.208,1256.814,116.264,eccca57e097531fe78100522…,WPaKPlcHFwdD92UR6v3fJ84W…,RUELE8fgdmOhZKzpQKzNMRfdOancWvCy…,ledger:hex_raw,006481b46b7d213b87b958ee17ae91cf094d01b027b493fe6eb7bcb58324c7000fca0312204a9be4e463c17a6f6029f9a71ae9469073380fdc07da7516b2dbef0e34b2321d,true
